date,task,category,hours,quantity,workspaceId,image,savedPath
2026-04-18,Design Facebook Cover For May,Facebook Cover,7.5,1,default,,
2026-04-17,"Design BD Mochi Matcha Poster , Banner and Items",BD Promotion,7.5,1,default,,
2026-04-17,Design Campaign and Contens,Campaign and Contents,7.5,6,default,,
2026-03-31,Design Game Top Up Winner Poster,Campaign & Contents,3.75,1,default,,
2026-04-03,Design BD Lost in Phnom Penh Poster Banner and Items,BD Promotion,7.5,1,default,,
2026-04-03,Design ABA x E-GetS Winner Poster,Campaign and Contents,7.5,1,default,,
2026-04-03,Draft BD Promotion Poster,Draft Poster,7.5,1,default,,
2026-04-04,Draft BD Promotion Posters,Brand Promotion,7.5,3,default,,
2026-04-05,Design BD Tram Coffee promotion -Poster,BD Promotion,3.75,1,default,,
2026-04-05,Draft BD Promotion (03 Posters),BD Promotion,3.75,3,default,,
2026-04-06,"Design Brand Starbuck Poster, Banner and Items",Brand Promotion,3.75,1,default,,
2026-04-08,"Design BD THE DENZ Poster , Banner and Items",BD Promotion,3.75,1,default,,
2026-04-07,Design Brand Footer for May,Design Footer,7.5,1,default,,
2026-04-11,Support Pho's Brand on Poster & Items,Support,3.75,2,default,,
2026-03-31,"Design Bavet Promotion 30% Poster ,Banner and Items",BD Promotion,3.75,1,default,,
2026-04-08,"Design BD Bay Srov Tmey Poster , Banner and Items",BD Promotion,3.75,1,default,,
2026-04-01,Draft Promotion Poster (03 Posters),BD Promotion,7.5,3,default,,
2026-04-11,"Design BD AFU Dessert Poster , Banner and Items",BD Promotion,3.75,1,default,,
2026-04-06,Design BD Tram Coffee promotion,BD Promotion,3.75,1,default,,
2026-04-20,Design Facebook Cover For May,Facebook Cover,7.5,1,default,,
2026-04-23,Design SHV Khmer & Vietnam Food 1$ Banner & Items,SHV Promotion,7.5,1,default,,
2026-04-24,Design បាយតាមាន់ធំ Poster and Banner,BD Promotion,3.75,1,default,,
2026-04-24,Draft BD Long Term Poster,BD Promotion,3.75,1,default,,
