Date,Task,Category,Quantity,Hours
2026-04-25,ALL Product,Poster,1,1.071428571
2026-04-25,Benefit,Poster,1,1.071428571
2026-04-25,Ceiling,Poster,1,1.071428571
2026-04-25,Celling Wind,Poster,1,1.071428571
2026-04-25,Floor,Poster,1,1.071428571
2026-04-25,Khmer New Year,Poster,1,1.071428571
2026-04-25,Wall,Poster,1,1.071428571
2026-05-02,Design ទិវាពលកម្មអន្តរជាតិ / វិសាខបូជា Poster,Poster,1,1.071428571
2026-05-02,Ceiling Board,Poster,1,1.071428571
2026-05-09,Wall,Brand Promotion,1,1.875
2026-05-09,Floor,Brand Promotion,1,1.875
