Date,Task,Category,Quantity,Hours
2026-04-18,Design Facebook Cover For May,Facebook Cover,1,7.5
2026-04-17,"Design BD Mochi Matcha Poster , Banner and Items",BD Promotion,1,7.5
2026-04-17,Design Campaign and Contens,Campaign and Contents,6,7.5
2026-04-03,Design BD Lost in Phnom Penh Poster Banner and Items,BD Promotion,1,7.5
2026-04-03,Design ABA x E-GetS Winner Poster,Campaign and Contents,1,7.5
2026-04-03,Draft BD Promotion Poster,Draft Poster,1,7.5
2026-04-04,Draft BD Promotion Posters,Brand Promotion,3,7.5
2026-04-05,Design BD Tram Coffee promotion -Poster,BD Promotion,1,3.75
2026-04-05,Draft BD Promotion (03 Posters),BD Promotion,3,3.75
2026-04-06,"Design Brand Starbuck Poster, Banner and Items",Brand Promotion,1,3.75
2026-04-08,"Design BD THE DENZ Poster , Banner and Items",BD Promotion,1,3.75
2026-04-07,Design Brand Footer for May,Design Footer,1,7.5
2026-04-11,Support Pho's Brand on Poster & Items,Support,2,3.75
2026-04-08,"Design BD Bay Srov Tmey Poster , Banner and Items",BD Promotion,1,3.75
2026-04-01,Draft Promotion Poster (03 Posters),BD Promotion,3,7.5
2026-04-11,"Design BD AFU Dessert Poster , Banner and Items",BD Promotion,1,3.75
2026-04-06,Design BD Tram Coffee promotion,BD Promotion,1,3.75
2026-04-20,Design Facebook Cover For May,Facebook Cover,1,7.5
2026-04-23,Design SHV Khmer & Vietnam Food 1$ Banner & Items,SHV Promotion,1,7.5
2026-04-24,Design បាយតាមាន់ធំ Poster and Banner,BD Promotion,1,3.75
2026-04-24,Draft BD Long Term Poster,BD Promotion,1,3.75
2026-04-27,Design Long Term Poster and Banner,BD Promotion,1,2.5
2026-04-27,Design KohiiPoster and Banner,Brand Promotion,1,2.5
2026-04-27,Design Winner Poster,Campaign and Contents,3,2.5
2026-04-28,1-Design Brand Burger Carl's Poster Banner and Items,Brand Promotion,1,7.5
2026-04-29,Garden City Water Park Poster,Group Booking,1,3.75
2026-04-29,Design SHV Drinks 1.33 Poster,Brand Promotion,1,3.75
2026-05-01,Design Pizza Hut,Brand Promotion,1,7.5
2026-05-04,BKK 1 Mix Rice,BD Promotion,1,2.5
2026-05-04,Burger King,Brand Promotion,1,2.5
